id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,2019-06-23,0.99,1,329
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",69439,Jade,Manhattan,SoHo,40.72351,-73.99683,Private room,140,2,54,2019-06-16,0.56,1,221
299078,Charming 1BD in SoHo,787261,L,Manhattan,SoHo,40.72509,-74.00304,Entire home/apt,250,5,152,2019-06-23,1.69,1,109
405408,"Magazine SOHO Studio Loft. 
Read our reviews!",2020431,M. C.,Manhattan,SoHo,40.72057,-73.99976,Entire home/apt,225,3,134,2019-06-22,1.53,1,231
494937,"The SoHo Loft - Huge Penthouse - 1,200 sqft",1527535,Jean-Marie,Manhattan,SoHo,40.72162,-74.00414,Entire home/apt,499,2,63,2019-07-07,0.76,1,26
591135,Awesome Place! Amazing Location!!!,1523018,T,Manhattan,SoHo,40.72466,-73.99632,Private room,125,1,132,2019-06-05,1.75,1,365
651375,"Spacious, rare, elegant, art-filled loft w sauna",3272526,Lisa,Manhattan,SoHo,40.72381,-73.99684,Entire home/apt,595,5,59,2019-06-27,0.77,1,169
951944,Quiet Studio in Prime SoHo,1408973,Dom,Manhattan,SoHo,40.72493,-74.00307,Entire home/apt,235,3,73,2019-07-05,0.94,1,44
998887,Sunny studio apt in heart of SoHo,227908,Mischa,Manhattan,SoHo,40.72602,-74.00318,Entire home/apt,130,20,33,2019-06-02,0.43,1,11
1070458,Room in a cozy loft,3968209,Swetha,Manhattan,SoHo,40.72086,-73.99999,Private room,100,3,64,2019-05-06,0.87,2,355
1365028,Soho Loft. Authentic and Eccentric! 2 Bedroom.,7409102,James,Manhattan,SoHo,40.72411,-73.99865,Entire home/apt,265,4,95,2019-06-19,1.31,1,257
1382158,1 double room in modern apt in heart of soho,7458733,Alexandra,Manhattan,SoHo,40.72466,-74.0042,Private room,90,1,77,2019-07-05,2.00,1,269
1403870,Sunny Soho Apartment with Great Views,7576337,Beth,Manhattan,SoHo,40.72587,-74.00186,Entire home/apt,200,4,68,2019-04-27,0.95,1,21
1492286,West Village/SoHo Prvt Rm,7977178,Abby,Manhattan,SoHo,40.72822,-74.00429,Private room,80,3,51,2019-04-26,0.79,3,276
1630572,Private Room in Designer's NYC Apt,2935265,Andrew,Manhattan,SoHo,40.72391,-73.99879,Private room,194,2,141,2019-06-21,2.00,2,340
1973889,Exposed Brick Wall Bedroom,3020145,Eva,Manhattan,SoHo,40.72493,-74.00193,Private room,106,2,191,2019-06-23,2.81,1,291
2371794,Master bedroom in historic house,2588427,Rip,Manhattan,SoHo,40.72541,-74.01015,Private room,150,3,30,2019-01-02,0.48,2,4
3849226,Gorgeous Room in Heart of Soho,5369757,Leighann,Manhattan,SoHo,40.72569,-74.00331,Private room,149,1,55,2019-05-22,0.94,1,354
4048043,1 BR in Exposed Brick SoHo apt,10135,Jason,Manhattan,SoHo,40.71972,-73.99986,Private room,135,2,125,2019-06-16,2.14,2,340
4059620,Heart of Soho/Nolita,2788262,Stara,Manhattan,SoHo,40.72525,-73.99636,Entire home/apt,199,2,167,2019-06-23,3.17,1,17
4071007,Cozy 1 BR in Exposed Brick SoHo Apt,10135,Jason,Manhattan,SoHo,40.71995,-73.99975,Private room,120,3,71,2019-06-11,1.21,2,304
4479632,Charming duplex garden flat in SoHo,20431437,Richard,Manhattan,SoHo,40.72736,-74.00192,Entire home/apt,495,30,159,2019-06-12,2.83,1,129
4660022,Best Block Clean Luxury Loft in SoHo,745486,Re,Manhattan,SoHo,40.72592,-73.99933,Entire home/apt,895,1,66,2019-06-24,1.18,1,365
4880811,A writer's den in Nolita ...,3568184,Brock,Manhattan,SoHo,40.72219,-73.99742,Entire home/apt,200,1,49,2016-07-29,0.94,1,0
5534962,Cozy Getaway in The ❤ of SoHo,1539848,Edythe,Manhattan,SoHo,40.72092,-73.99966,Entire home/apt,150,3,58,2019-07-01,2.78,1,40
6121052,Chic calm in the heart of Soho,13525339,Robert,Manhattan,SoHo,40.72337,-73.99724,Entire home/apt,195,2,60,2019-06-24,1.18,1,16
6132230,"Quiet 1 Bed, Heart of SoHo",6976808,Tim,Manhattan,SoHo,40.72708,-74.00055,Entire home/apt,150,5,36,2017-09-08,0.71,1,0
7004408,Cozy & Zen Manhattan Soho Studio,21641864,Yann,Manhattan,SoHo,40.72745,-74.0027,Entire home/apt,190,6,61,2019-06-07,1.27,1,275
7511452,Historic WoHo Townhouse,2588427,Rip,Manhattan,SoHo,40.72547,-74.01,Private room,300,7,51,2018-01-05,1.11,2,156
7816449,Dreamlike Soho loft and rooftop,1317360,John,Manhattan,SoHo,40.72219,-74.0014,Entire home/apt,500,7,44,2017-09-25,0.94,2,365
8071687,Historic Townhouse Apartment,36481078,Timur,Manhattan,SoHo,40.72731,-74.00472,Entire home/apt,350,3,74,2019-07-05,1.60,1,247
8268849,Private Floor in SOHO Townhouse,43599290,Scott,Manhattan,SoHo,40.72409,-74.00241,Private room,199,3,107,2019-06-23,2.69,2,276
8444227,Private Room in Heart of Soho,44457589,Joel,Manhattan,SoHo,40.72607,-74.00166,Private room,95,1,152,2019-06-04,3.34,2,9
8535434,Large Soho Studio Loft,19100918,James,Manhattan,SoHo,40.72792,-74.00323,Entire home/apt,125,1,88,2019-06-30,1.91,1,320
8609130,Great Nolita Apartment!,2520559,Victoria,Manhattan,SoHo,40.72214,-73.99793,Entire home/apt,150,2,89,2019-06-02,1.94,1,55
8838957,Lovely Space in the heart of SoHo!,10595200,Lauren,Manhattan,SoHo,40.72549,-74.00523,Entire home/apt,165,10,31,2019-05-16,0.71,1,55
8943358,Loved by NYLocals Private Room SoHo,2695451,Elle,Manhattan,SoHo,40.72476,-74.00387,Private room,82,1,228,2019-07-05,5.11,2,28
9445593,"SoHo Apt. in Historic Townhouse, Private Terrace",48949937,Jocelyn,Manhattan,SoHo,40.72419,-74.00451,Entire home/apt,310,3,117,2019-06-22,2.88,1,57
9461803,Private room in classic SoHo loft,2611503,Ronnie,Manhattan,SoHo,40.72675,-74.00757,Private room,225,3,49,2019-06-06,1.44,1,322
9607855,Beautiful apt in Soho,46222477,Karoliina,Manhattan,SoHo,40.7261,-74.00281,Entire home/apt,145,2,61,2017-10-30,1.40,1,0
11535506,Bright bedroom in Soho / roof access,7539044,Vinciane,Manhattan,SoHo,40.72705,-74.00314,Private room,190,2,53,2019-04-08,1.42,2,38
11909308,SoHo Studio on Spring Street,4392739,René,Manhattan,SoHo,40.72671,-74.01035,Entire home/apt,290,2,69,2019-06-08,1.73,1,99
11920660,Brightly Skylit 3 Bedroom Soho Loft,62316222,C E,Manhattan,SoHo,40.72064,-73.99957,Entire home/apt,595,5,51,2019-06-06,1.29,1,347
11933676,Soho PH 2 Bedroom Private Terrace,63702305,Caroline,Manhattan,SoHo,40.72289,-73.9974,Entire home/apt,500,4,72,2019-07-01,1.80,1,330
13017016,Greenwich village 1 bedroom - spacious!,69841552,Jacob,Manhattan,SoHo,40.72625,-74.00199,Entire home/apt,150,3,40,2019-04-22,1.05,1,4
13309763,Large SOHO Artist Loft,75098888,Nate,Manhattan,SoHo,40.72535,-73.9966,Entire home/apt,450,2,41,2019-04-19,1.16,1,0
13486730,Large private bedroom in West Soho/West Village,3714721,James,Manhattan,SoHo,40.72689,-74.0089,Private room,101,2,102,2019-07-01,2.97,2,116
14827512,comfy bed in SOHO,9390190,Amy,Manhattan,SoHo,40.72364,-73.99923,Shared room,100,1,51,2019-07-01,1.48,4,82
15098786,Cozy One Small Bedroom Soho House,95599073,Sarah,Manhattan,SoHo,40.72688,-74.0022,Entire home/apt,200,3,79,2019-06-23,2.33,1,28
15218342,Cozy bright studio flat - Soho/Village,49645950,Karen,Manhattan,SoHo,40.7263,-74.00344,Entire home/apt,189,2,136,2019-07-06,4.09,2,30
15260962,Luxury 2BR Penthouse in the hearth of Soho (Nyc),26830685,Gaia&Pietro,Manhattan,SoHo,40.72575,-74.00128,Entire home/apt,850,3,32,2019-06-24,1.04,1,262
15355243,*PRIME* The ❤️ of Greenwich Village/SOHO SLEEPS 4,1862880,Joy,Manhattan,SoHo,40.72652,-74.00032,Entire home/apt,245,2,44,2019-06-18,1.34,1,0
16899058,The ❤️ of SoHo: Adorable 2 br // event space,112780904,Milly,Manhattan,SoHo,40.7255,-74.00258,Entire home/apt,459,1,61,2019-07-01,2.04,1,173
17136721,Charming Room on Prime SoHo Block,41965551,Philip,Manhattan,SoHo,40.72576,-74.00266,Private room,80,1,131,2019-06-24,4.56,1,20
17151230,Right in the middle of it all!,36579189,Daniel,Manhattan,SoHo,40.7204,-74.00047,Private room,109,1,63,2018-06-25,2.23,1,0
18306444,Lively SoHo/Quiet St/2 blocks Subway/Fast WiFi,114548258,Only One,Manhattan,SoHo,40.72615,-74.00097,Entire home/apt,215,1,83,2019-06-25,3.19,2,214
18838643,Private bedroom in West Soho/West Village,3714721,James,Manhattan,SoHo,40.72681,-74.00771,Private room,76,2,60,2019-06-21,2.37,2,116
18840735,Light & Cozy SoHo Hacienda,130815919,Frank,Manhattan,SoHo,40.72633,-74.00207,Entire home/apt,205,2,109,2019-07-01,4.29,1,32
20433673,Tiny Apt,102863031,Jakelina,Manhattan,SoHo,40.72443,-74.00141,Private room,80,5,32,2019-06-26,1.39,1,336
21056487,"** SoHo: Clean, Safe, Private, Quiet Bedroom (B)**",104450469,Janet,Manhattan,SoHo,40.7228,-73.99799,Private room,99,2,35,2019-02-07,1.62,2,129
21095257,Soho | Greenwich Village 1 Bedroom,21480920,Dawn,Manhattan,SoHo,40.72653,-74.00054,Entire home/apt,225,3,79,2019-07-06,3.88,1,151
21638538,Spacious Private bedroom & private bathroom,130201799,Karma,Manhattan,SoHo,40.7244,-73.99884,Private room,169,3,31,2019-06-30,1.54,1,69
21915201,Soho 2 Bedroom Private Terrace,159903889,Patricia,Manhattan,SoHo,40.72067,-74.00024,Entire home/apt,400,4,42,2019-06-22,2.13,1,306
22354307,Location location soho cozy apt heart of NYC,163458740,Blair,Manhattan,SoHo,40.72547,-74.0021,Entire home/apt,190,1,94,2019-07-01,5.18,1,187
23388053,Private Room in Beautiful Soho NYC,6542295,Jon,Manhattan,SoHo,40.728,-74.00265,Private room,110,3,71,2019-06-26,4.39,2,37
23996716,"INCREDIBLE, Spacious 1 BDRM in the heart of SOHO.",44352618,Michelle,Manhattan,SoHo,40.72613,-74.00188,Entire home/apt,200,2,37,2019-06-16,2.51,1,8
24210296,Private bedroom in Downtown Manhattan,97015202,Maya,Manhattan,SoHo,40.72741,-74.0088,Private room,150,1,61,2019-05-31,4.11,1,8
24772896,Quaint SoHo Home Away From Home in The Big Apple!,187301833,Sue,Manhattan,SoHo,40.72095,-73.99961,Entire home/apt,210,3,34,2019-06-26,2.48,1,37
25548071,SoHo Bedroom Central and Close to Many Subways,36579046,Robert,Manhattan,SoHo,40.72092,-74.00018,Private room,115,1,75,2019-06-29,5.80,1,11
25925504,SoHo! Private Room in Comfy Apt!,192951036,Jasmine,Manhattan,SoHo,40.72788,-74.00301,Private room,129,1,38,2019-07-06,2.98,10,151
25927829,Soho!  Amazing Single Room!,192951036,Jasmine,Manhattan,SoHo,40.7258,-73.99969,Private room,119,1,35,2019-06-23,2.75,10,156
25928236,Soho! Room in Modern Apartment!,192951036,Jasmine,Manhattan,SoHo,40.72513,-74.00329,Private room,119,1,42,2019-07-06,3.32,10,120
27765541,Perfect location two bedroom beautifully furnished,209642447,Brik,Manhattan,SoHo,40.72725,-74.00128,Entire home/apt,350,2,38,2019-07-01,4.49,1,267
28426648,Minimalist Loft  Luxury in Soho,214416012,James,Manhattan,SoHo,40.72345,-73.99943,Entire home/apt,800,2,36,2019-07-01,3.88,1,90
28820641,Located in the perfect neighborhood of NYC a gem,130562125,Emma,Manhattan,SoHo,40.72608,-74.00336,Entire home/apt,350,2,32,2019-07-01,3.42,1,284
29059214,Comfy Van,10407935,Meng,Manhattan,SoHo,40.72725,-74.00245,Entire home/apt,89,1,45,2019-06-30,4.93,8,34
29083751,PRIME LOCATION CLEAN SOHO PRIVATE ROOM 2 BEDROOM,26860800,Jonathan,Manhattan,SoHo,40.72614,-74.00076,Private room,115,1,31,2019-06-12,3.39,1,1
30999038,"Amazing location,  A gem in Soho two bedroom",231515893,Chris,Manhattan,SoHo,40.7274,-74.0026,Entire home/apt,183,2,35,2019-07-02,5.36,1,294
236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Nick And Noémie,Brooklyn,DUMBO,40.70257,-73.9847,Entire home/apt,350,5,40,2019-04-14,0.50,1,67
932277,Fabulous Industrial Dumbo Loft,2902266,Kate,Brooklyn,DUMBO,40.70434,-73.98989,Private room,125,20,35,2015-01-05,0.45,1,311
956412,Charming Bright 2BR apt- sleeps 6,588270,Dikla,Brooklyn,DUMBO,40.70424,-73.98597,Entire home/apt,189,2,236,2019-06-21,3.08,2,279
4070025,Luxury Flat with Outdoor and Study Room,21110000,Shahram,Brooklyn,DUMBO,40.70452,-73.98583,Entire home/apt,250,2,150,2019-07-05,2.57,1,309
5320983,Beautiful bright renovated 2BR w Balcony-sleeps 5!,588270,Dikla,Brooklyn,DUMBO,40.7043,-73.98667,Entire home/apt,189,2,177,2019-06-09,3.33,2,235
5445314,Beautiful Artist loft,21838149,Marcia,Brooklyn,DUMBO,40.70299,-73.98624,Private room,160,1,54,2019-06-20,1.03,1,10
6764316,GIANT LOFT IN DUMBO -- BY BROOKLYN BRIDGE PARK,362418,Julia,Brooklyn,DUMBO,40.70318,-73.9878,Private room,125,3,181,2019-07-05,3.67,1,111
7204443,Peaceful Room in Dumbo Art Loft,37723496,Anna,Brooklyn,DUMBO,40.70429,-73.98773,Private room,125,2,152,2019-06-23,3.16,2,166
15018397,Peaceful Room in Dumbo Art Loft Too,37723496,Anna,Brooklyn,DUMBO,40.70426,-73.98633,Private room,125,2,98,2019-06-29,2.88,2,164
15772447,Big Sunny Room in Huge DUMBO Loft,90025899,Craig,Brooklyn,DUMBO,40.70416,-73.98539,Private room,105,2,146,2019-06-30,4.52,1,62
5370580,Private room in 2/bed doorman condo,12621774,Calogero,Queens,Corona,40.73886,-73.85147,Private room,36,1,69,2019-07-01,1.32,1,354
8615012,Private Tent - Shared Room (Bed-2),44620317,Claudia,Queens,Corona,40.73977,-73.85777,Shared room,37,1,34,2018-09-21,0.76,4,362
8761292,Private Tent- Shared Room (Bed 1),44620317,Claudia,Queens,Corona,40.74049,-73.85607,Shared room,40,1,39,2019-07-01,0.87,4,351
9577006,Private Bedroom,44620317,Claudia,Queens,Corona,40.73703,-73.85861,Private room,55,2,33,2018-02-19,0.75,4,280
9979094,Sunny Room Downtown Queens NYC,51278789,Grace,Queens,Corona,40.74071,-73.86498,Private room,36,16,55,2019-05-28,1.43,2,110
10142499,"Prívate room in Queens, NY",38260715,Lady,Queens,Corona,40.7394,-73.85527,Private room,37,1,74,2019-06-30,1.73,1,135
11481639,Master Room in Downtown Queens NYC,51278789,Grace,Queens,Corona,40.73884,-73.8665,Private room,40,16,34,2019-05-11,0.87,2,146
13073701,Lovely Charming and quiet 2 bed apartment,35660592,Luis,Queens,Corona,40.75058,-73.8535,Entire home/apt,119,2,37,2019-07-02,1.01,6,336
13082957,"COMFY & SECURE NEAR AIRPORT, SHOPPING MALLS & PARK",5261297,Jackie,Queens,Corona,40.74332,-73.85469,Private room,52,1,45,2018-08-07,1.27,1,57
13997894,1 bedroom full apartment completely private!,83616984,Horacio,Queens,Corona,40.74598,-73.85683,Entire home/apt,85,7,60,2019-06-30,1.65,1,284
14148550,La Guardia Airport Cozy Attic studio with Spiral,35660592,Luis,Queens,Corona,40.75134,-73.85219,Entire home/apt,79,2,83,2019-07-02,2.32,6,320
15041647,Private Bedroom in NYC w/ SUPERHOST.,69117812,Nixie & Hai,Queens,Corona,40.73702,-73.857,Private room,60,1,105,2019-07-03,3.07,1,347
15436800,Independent entrance,67619393,Arthur,Queens,Corona,40.73759,-73.86351,Private room,37,3,30,2019-06-18,0.98,1,48
15844840,Room in Queens Close to Train Station!,98697139,Oscar,Queens,Corona,40.7507,-73.85774,Private room,40,1,43,2019-06-08,1.37,2,59
17478780,The Perfect Queens Getaway!,118400082,Jairo,Queens,Corona,40.74122,-73.85334,Entire home/apt,149,2,51,2019-06-30,1.90,1,242
20819116,My Little Cottage,149292557,Kimberly,Queens,Corona,40.75015,-73.85961,Entire home/apt,69,2,166,2019-07-07,7.50,2,140
21081485,Spotless Private Room near Airport and Subway!,29597567,Lucy & Rodo,Queens,Corona,40.74533,-73.86076,Private room,49,2,127,2019-06-22,6.05,1,64
23631725,Private Cozy Room,176679165,Sherry,Queens,Corona,40.73917,-73.86362,Private room,40,1,78,2019-06-19,4.81,2,69
23644347,Private Sunshine Room,176679165,Sherry,Queens,Corona,40.73726,-73.8632,Private room,35,1,78,2019-06-22,4.82,2,75
25341465,Private Bright Bedroom near 7 Train LGA & JFK,190096034,Janet,Queens,Corona,40.74464,-73.86012,Private room,60,1,63,2019-07-07,5.12,3,155
28069265,Skylit Private Bedroom for LGA & JFK layovers,190096034,Janet,Queens,Corona,40.74454,-73.8592,Private room,60,1,74,2019-07-07,7.21,3,66
30891733,BEAUTIFUL AND SPACIOUS STUDIO CLOSE TO LGA AND JFK,230584533,Sonia,Queens,Corona,40.745,-73.85927,Entire home/apt,99,1,64,2019-07-04,9.50,1,329
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2019-06-01,2.04,3,355
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,2019-06-14,1.42,1,255
9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2019-07-01,2.37,3,359
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,2019-06-13,0.84,1,309
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,2019-03-23,0.49,1,209
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,2019-06-23,1.61,1,346
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2019-07-01,2.03,1,318
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,2019-06-20,1.42,3,213
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,2019-05-26,0.75,3,231
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,2019-06-22,1.00,5,247
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,2019-06-03,1.84,5,245
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2019-06-26,2.10,2,232
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,2019-07-03,4.58,2,258
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,2019-06-11,1.82,5,253
66718,West Harlem Home Base - Eco-Apt.,136227,Henning,Manhattan,Harlem,40.81322,-73.95306,Entire home/apt,135,6,187,2019-06-23,1.87,1,189
68305,Cozy Private Room in Apartment,338454,Share,Manhattan,Harlem,40.82976,-73.94867,Private room,85,30,64,2018-07-06,0.68,1,318
74404,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,391325,G & S,Manhattan,Harlem,40.80276,-73.9567,Entire home/apt,250,14,31,2012-08-22,0.31,1,78
106363,Bright Room With A Great River View,551055,Alicia,Manhattan,Harlem,40.82773,-73.95231,Private room,60,3,380,2019-06-26,3.83,2,247
115535,Sun-Drenched Hamilton Hts Jewel   ,567187,Jane,Manhattan,Harlem,40.82399,-73.95328,Private room,65,14,35,2019-06-01,0.35,1,283
115678,Your Stunning Vacation Apartment!,127772,Will,Manhattan,Harlem,40.81822,-73.94095,Entire home/apt,99,1,320,2019-06-23,3.23,1,220
123784,NYC Studio for Rent in Townhouse,617990,Christopher,Manhattan,Harlem,40.80481,-73.94794,Entire home/apt,110,2,142,2019-06-16,1.44,2,301
128975,City Room - Street View Apt,256161,Wayne,Manhattan,Harlem,40.81333,-73.94453,Entire home/apt,122,1,116,2019-06-13,1.18,5,271
147586,Beautiful Duplex w/Private Garden,709334,Julie,Manhattan,Harlem,40.80474,-73.94688,Entire home/apt,295,2,74,2019-06-16,0.76,2,264
152259,City Room - Semi Private Bedroom,256161,Wayne,Manhattan,Harlem,40.81156,-73.94571,Private room,55,3,119,2019-05-28,1.22,5,333
152263,Cozy apartment in a brownstone,732535,William,Manhattan,Harlem,40.80497,-73.95016,Entire home/apt,300,2,203,2019-07-06,2.14,3,258
154934,Harlem/Hamilton Heights Cozy Room,745069,Kimberly,Manhattan,Harlem,40.82426,-73.9463,Private room,75,3,38,2018-05-08,0.42,3,365
161996,Manhattan Penthouse-Max.12 guests,1856604,"Robert ""Bob""",Manhattan,Harlem,40.83096,-73.94633,Entire home/apt,295,3,227,2019-06-26,2.33,1,247
163809,Cool & Spacious Harlem Artist Flat,781647,Jorin,Manhattan,Harlem,40.80523,-73.95139,Entire home/apt,198,5,42,2019-06-03,0.44,2,234
169002,Modern Space in Charming Pre-war,805344,Alec,Manhattan,Harlem,40.82411,-73.94934,Private room,65,2,41,2019-06-16,0.43,2,59
172870,Large Quiet Bedroom Near Columbia U,781647,Jorin,Manhattan,Harlem,40.80518,-73.95359,Private room,89,5,43,2018-01-03,0.47,2,247
173072,Cozy Pre-War Harlem Apartment,826192,Lewis,Manhattan,Harlem,40.80827,-73.95329,Shared room,49,3,168,2019-07-06,4.60,1,248
181972,Gorgeous Entire Manhattan Townhouse,872121,Rosario,Manhattan,Harlem,40.8296,-73.94651,Entire home/apt,199,2,111,2019-06-02,1.17,1,12
197753,Large room in elevator drman bldg,964482,Colin,Manhattan,Harlem,40.83127,-73.94718,Private room,68,2,295,2019-06-12,3.90,2,188
199195,Modern Bedroom in Hamilton Heights,971075,Jabari,Manhattan,Harlem,40.82922,-73.94174,Private room,75,3,50,2019-03-30,0.65,2,38
219922,"Lovely Bdr in Harlem, Manhattan",1139574,Carmel,Manhattan,Harlem,40.816,-73.95545,Private room,100,1,33,2019-05-25,0.38,1,84
220351,THE BEST DEAL ON THE HUDSON RIVER!!,921500,Boubacar And Pattee,Manhattan,Harlem,40.82748,-73.95153,Private room,55,4,99,2019-02-28,1.04,1,260
224004,Artsy Loft-like Harlem Apartment,1165231,Deirdre,Manhattan,Harlem,40.80486,-73.95298,Private room,69,1,59,2018-10-26,0.63,2,86
234184,Spacious Stunning Harlem Townhouse,902054,William,Manhattan,Harlem,40.80903,-73.94197,Entire home/apt,325,5,89,2019-06-30,0.94,1,153
253623,Chez Carine - Privacy in Manhattan,1332108,Cici,Manhattan,Harlem,40.81512,-73.94692,Private room,81,2,72,2018-11-26,0.77,1,0
258740,Spacious room in beautiful apt! ,1360043,Adrienne,Manhattan,Harlem,40.81872,-73.94567,Private room,58,1,143,2018-06-30,2.83,1,0
268392,SUNNY 2-bdrm CHILD-friendly Uptwn by Centrl Park!,1406773,Eyal And Amy,Manhattan,Harlem,40.79951,-73.95257,Entire home/apt,130,2,35,2019-05-27,0.42,1,41
274062,Beautiful Room Near Central Park!,1433395,Stacia,Manhattan,Harlem,40.80285,-73.95166,Private room,99,2,54,2019-06-24,0.88,1,50
276482,Comfortable Manhattanville.,305972,Allan,Manhattan,Harlem,40.81371,-73.95585,Private room,85,6,130,2019-06-02,1.42,2,97
281851,Beautiful Private Bedroom - Downstairs,1469036,Tw,Manhattan,Harlem,40.80671,-73.95082,Private room,130,1,107,2019-06-25,2.38,1,304
286838,Private Room in Brownstone,1492339,Karin,Manhattan,Harlem,40.80748,-73.95589,Private room,75,2,101,2015-10-31,1.10,1,0
301034,Furnished Bedroom with private half bath,1550578,Ron,Manhattan,Harlem,40.80637,-73.95433,Private room,140,2,44,2019-06-26,0.49,1,260
310325,Large Sunny Bedroom with Bay Window,745069,Kimberly,Manhattan,Harlem,40.82286,-73.94596,Private room,75,3,33,2019-06-10,0.39,3,301
